"Comparateur de territoires"

"© Insee"



"Population";"Commune : Marseille 1er Arrondissement (13201)";"Commune : Marseille 2e Arrondissement (13202)";"Commune : Marseille 3e Arrondissement (13203)";"Commune : Marseille 4e Arrondissement (13204)";"Commune : Marseille 5e Arrondissement (13205)";"Commune : Marseille 6e Arrondissement (13206)";"Commune : Marseille 7e Arrondissement (13207)";"Commune : Marseille 8e Arrondissement (13208)";"Commune : Marseille 9e Arrondissement (13209)";"Commune : Marseille 10e Arrondissement (13210)";"Commune : Marseille 11e Arrondissement (13211)";"Commune : Marseille 12e Arrondissement (13212)";"Commune : Marseille 13e Arrondissement (13213)";"Commune : Marseille 14e Arrondissement (13214)";"Commune : Marseille 15e Arrondissement (13215)";"Commune : Marseille 16e Arrondissement (13216)";
"Population en 2021";"39436";"23627";"53115";"50068";"45449";"39647";"34633";"82609";"77106";"59002";"57924";"63108";"92261";"59948";"79656";"15487";
"Densité de la population (nombre d'habitants au km²) en 2021";"21908,9";"4687,9";"20428,8";"17264,8";"20289,7";"18879,5";"5971,2";"4453,3";"1218,7";"5443,0";"1723,9";"4475,7";"3278,6";"3646,5";"4713,4";"950,1";
"Superficie en 2021, en km²";"1,8";"5,0";"2,6";"2,9";"2,2";"2,1";"5,8";"18,6";"63,3";"10,8";"33,6";"14,1";"28,1";"16,4";"16,9";"16,3";
"Variation de la population : taux annuel moyen entre 2015 et 2021, en %";"-0,4";"-0,6";"1,8";"0,7";"-0,5";"-1,3";"-0,2";"0,6";"0,7";"1,0";"0,2";"0,6";"0,1";"-0,6";"0,4";"-0,9";
"dont variation due au solde naturel : taux annuel moyen entre 2015 et 2021, en %";"1,1";"0,9";"1,6";"0,5";"0,5";"0,7";"0,2";"0,1";"0,0";"0,5";"0,3";"-0,1";"0,5";"1,2";"1,1";"0,7";
"dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2015 et 2021, en %";"-1,4";"-1,5";"0,2";"0,2";"-1,0";"-2,0";"-0,4";"0,4";"0,7";"0,4";"-0,1";"0,7";"-0,4";"-1,8";"-0,7";"-1,6";
"Nombre de ménages en 2021";"21208";"12228";"23133";"26115";"26584";"22324";"19554";"42113";"35209";"28233";"24305";"28862";"39146";"24299";"30047";"6877";
"Sources : Insee, RP2015 et RP2021 exploitations principales en géographie au 01/01/2024";
"";
"Naissances domiciliées en 2022";"472";"357";"957";"710";"558";"512";"356";"870";"794";"911";"656";"697";"1282";"1209";"1354";"243";
"Décès domiciliés en 2022";"226";"201";"332";"510";"357";"319";"343";"949";"855";"527";"521";"790";"931";"488";"556";"216";
"Avertissement : Contrairement aux autres données de cette page, le niveau France contient les données de Mayotte.";
"Source : Insee, état civil en géographie au 01/01/2023";
"";
"Logement";"Commune : Marseille 1er Arrondissement (13201)";"Commune : Marseille 2e Arrondissement (13202)";"Commune : Marseille 3e Arrondissement (13203)";"Commune : Marseille 4e Arrondissement (13204)";"Commune : Marseille 5e Arrondissement (13205)";"Commune : Marseille 6e Arrondissement (13206)";"Commune : Marseille 7e Arrondissement (13207)";"Commune : Marseille 8e Arrondissement (13208)";"Commune : Marseille 9e Arrondissement (13209)";"Commune : Marseille 10e Arrondissement (13210)";"Commune : Marseille 11e Arrondissement (13211)";"Commune : Marseille 12e Arrondissement (13212)";"Commune : Marseille 13e Arrondissement (13213)";"Commune : Marseille 14e Arrondissement (13214)";"Commune : Marseille 15e Arrondissement (13215)";"Commune : Marseille 16e Arrondissement (13216)";
"Nombre total de logements en 2021";"24116";"16153";"27217";"29560";"30996";"27652";"22702";"48035";"38540";"31068";"25810";"30970";"42238";"26639";"32868";"7760";
"Part des résidences principales en 2021, en %";"87,9";"75,7";"85,0";"88,3";"85,8";"80,7";"86,1";"87,7";"91,4";"90,9";"94,2";"93,2";"92,7";"91,2";"91,4";"88,6";
"Part des résidences secondaires (y compris les logements occasionnels) en 2021, en %";"5,1";"10,6";"2,1";"2,5";"4,6";"6,9";"7,0";"6,5";"2,4";"1,3";"1,1";"1,2";"1,0";"0,8";"0,4";"1,9";
"Part des logements vacants en 2021, en %";"6,9";"13,7";"12,9";"9,1";"9,6";"12,3";"6,9";"5,8";"6,3";"7,8";"4,8";"5,6";"6,3";"8,0";"8,2";"9,5";
"Part des ménages propriétaires de leur résidence principale en 2021, en %";"26,0";"24,9";"20,9";"42,3";"35,4";"40,6";"51,0";"52,1";"56,1";"44,0";"54,0";"61,3";"45,2";"33,5";"32,1";"46,7";
"Source : Insee, RP2021 exploitation principale en géographie au 01/01/2024";
"";
"Revenus";"Commune : Marseille 1er Arrondissement (13201)";"Commune : Marseille 2e Arrondissement (13202)";"Commune : Marseille 3e Arrondissement (13203)";"Commune : Marseille 4e Arrondissement (13204)";"Commune : Marseille 5e Arrondissement (13205)";"Commune : Marseille 6e Arrondissement (13206)";"Commune : Marseille 7e Arrondissement (13207)";"Commune : Marseille 8e Arrondissement (13208)";"Commune : Marseille 9e Arrondissement (13209)";"Commune : Marseille 10e Arrondissement (13210)";"Commune : Marseille 11e Arrondissement (13211)";"Commune : Marseille 12e Arrondissement (13212)";"Commune : Marseille 13e Arrondissement (13213)";"Commune : Marseille 14e Arrondissement (13214)";"Commune : Marseille 15e Arrondissement (13215)";"Commune : Marseille 16e Arrondissement (13216)";
