arrondissement,législatives 2024,européennes 2024,,presidentielles 2022,absention presidentielles 2023,municipales 2020
1,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,40.36%,LE PRINTEMPS MARSEILLAIS
2,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,40.26%,LE PRINTEMPS MARSEILLAIS
3,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,49.77%,LE PRINTEMPS MARSEILLAIS
4,Divers gauche,LA FRANCE REVIENT ! ,,Emmanuel MACRON,34.46%,LE PRINTEMPS MARSEILLAIS
5,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,32.63%,LE PRINTEMPS MARSEILLAIS
6,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,31.09%,LE PRINTEMPS MARSEILLAIS
7,Union de la gauche,LA FRANCE REVIENT ! ,,Emmanuel MACRON,28.59%,LE PRINTEMPS MARSEILLAIS
8,Union de la gauche,LA FRANCE REVIENT ! ,,Emmanuel MACRON,28.32%,LE PRINTEMPS MARSEILLAIS
9,Union de l'extrême droite,LA FRANCE REVIENT ! ,,Emmanuel MACRON,31.00%,UNE VOLONTE POUR MARSEILLE 
10,Rassemblement National,LA FRANCE REVIENT ! ,,Marine LE PEN,35.34%,UNE VOLONTE POUR MARSEILLE 
11,Rassemblement National,LA FRANCE REVIENT ! ,,Marine LE PEN,33.05%,UNE VOLONTE POUR MARSEILLE 
12,Rassemblement National,LA FRANCE REVIENT ! ,,Emmanuel MACRON,27.98%,UNE VOLONTE POUR MARSEILLE 
13,Rassemblement National,LA FRANCE REVIENT ! ,,Emmanuel MACRON,36.63%,UNE VOLONTE POUR MARSEILLE 
14,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,46.16%,UNE VOLONTE POUR MARSEILLE 
15,Union de la gauche,LA FRANCE INSOUMISE,,Emmanuel MACRON,48.02%,TOUS UNIS AVEC SAMIA GHALI
16,Union de la gauche,LA FRANCE REVIENT ! ,,Emmanuel MACRON,38.83%,TOUS UNIS AVEC SAMIA GHALI
